,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"6,13,90,000","4,46,66,300","4,65,40,300"
Other short-term investments,"8,95,44,700","7,71,53,800","5,25,05,000"
Total cash,"15,09,34,700","12,18,20,100","9,90,45,300"
Net receivables,"9,29,05,100","8,48,98,200","7,19,92,600"
Inventory,"12,20,01,600","9,33,55,700","8,88,60,100"
Other current assets,"2,26,67,100","2,03,79,900","40,03,400"
Total current assets,"69,40,60,400","59,07,60,200","48,88,63,200"
"Gross property, plant and equipment","53,87,46,500","49,89,32,200","44,00,32,600"
Accumulated depreciation,"-29,19,31,400","-27,25,81,600","-24,13,90,400"
"Net property, plant and equipment","24,68,15,100","22,63,50,600","19,86,42,200"
Goodwill,"2,07,36,000","2,15,96,700","55,86,100"
Intangible assets,"6,98,74,700","5,65,66,400","4,51,45,100"
Other long-term assets,"84,67,500","1,17,76,600","1,52,39,600"
Total non-current assets,"93,98,55,300","78,13,48,900","65,93,92,900"
Total assets,"1,63,39,15,700","1,37,21,09,100","1,14,82,56,100"
Current debt,"27,32,21,300","22,08,87,400","10,12,40,800"
Accounts payable,"20,99,21,700","18,28,73,400","15,54,46,000"
Other current liabilities,"24,25,000","24,52,000","32,86,900"
Total current liabilities,"58,74,33,300","49,14,95,400","39,88,31,100"
Long-term debt,"43,52,61,700","33,80,91,800","30,15,73,300"
Deferred tax liabilities,"2,17,13,100","1,58,74,200","1,78,74,500"
Deferred revenues,"5,04,28,900","2,14,41,100","1,99,64,800"
Other long-term liabilities,-,"1,49,800","19,60,100"
Total non-current liabilities,"56,30,42,600","43,03,57,100","38,84,76,100"
Total liabilities,"1,15,04,75,900","92,18,52,500","78,73,07,200"
Common stock,"54,39,600","54,31,300","27,08,900"
Retained earnings,"30,75,69,900","27,82,36,200",-
Total stockholders' equity,"39,98,34,100","36,77,51,900","29,73,79,900"
Total liabilities and stockholders' equity,"1,63,39,15,700","1,37,21,09,100","1,14,82,56,100"
