,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,7,7,40,37
Avg. Estimate,155.46B,159.57B,601.93B,666.81B
Low estimate,150.59B,153.38B,590.73B,627.32B
High estimate,158.74B,162.28B,615.36B,693.29B
Year ago EPS,14.89,16.01,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,128.09B,131.78B,505.69B,601.93B
Sales growth (year/est),21.40%,21.10%,19.00%,10.80%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,15.35,15.91,16.38,17.7
Actual EPS,14.89,16.01,17.45,18.15
Difference,-0.46,0.1,1.07,0.45
Surprise %,-3.00%,0.60%,6.50%,2.50%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,18.7,19.3,73.77,79.46
30 days ago,18.7,19.3,73.77,79.46
60 days ago,18.7,19.3,73.77,79.46
90 days ago,18.7,19.3,73.77,79.46
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,1,1
Up last 30 days,1,1,5,6
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,HCLTECH.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),7.96%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
