,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"2,99,36,62,400","2,99,36,62,400","2,88,29,51,100","2,65,64,95,100"
Cost of revenue,"1,97,88,55,800","1,97,88,55,800","1,86,96,82,900","1,67,08,95,400"
Gross profit,"1,01,48,06,600","1,01,48,06,600","1,01,32,68,200","98,55,99,700"
Research development,"4,22,45,700","4,22,45,700","3,53,18,700","3,41,35,700"
Selling general and administrative,"34,98,13,400","34,98,13,400","30,59,80,700","28,77,09,200"
Total operating expenses,"1,21,78,98,300","1,21,78,98,300","1,12,90,05,700","1,04,95,55,800"
Operating income or loss,"-20,30,91,700","-20,30,91,700","-11,57,37,500","-6,39,56,100"
Interest expense,"5,75,86,000","5,75,86,000","4,63,65,000","4,23,65,700"
Total other income/expenses net,"-6,47,40,000","-6,47,40,000","26,07,20,600","19,85,85,500"
Income before tax,"-31,75,53,100","-31,75,53,100","10,57,40,500","9,79,04,400"
Income tax expense,"-2,54,25,000","-2,54,25,000","3,80,58,500","3,56,70,000"
Income from continuing operations,"-29,21,28,100","-29,21,28,100","6,76,82,000","6,22,34,400"
Net income,"-29,31,42,700","-29,31,42,700","6,66,60,800","6,12,10,500"
Net income available to common shareholders,"-29,31,42,700","-29,31,42,700","6,66,60,800","6,12,10,500"
Basic EPS,-,-,19.60,18.00
Diluted EPS,-,-,19.60,18.00
Basic average shares,-,-,"33,95,851","33,95,702"
Diluted average shares,-,-,"33,96,579","33,96,554"
EBITDA,-,"-2,97,69,300","36,19,23,700","32,26,75,500"
