,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"6,73,67,000","6,82,62,000","6,62,12,000","6,08,47,000"
Cost of revenue,"2,44,24,000","2,87,04,000","2,63,35,000","2,43,27,000"
Gross profit,"4,29,43,000","3,95,58,000","3,98,77,000","3,65,20,000"
Selling general and administrative,-,"6,74,000","5,64,000","5,81,000"
Total operating expenses,"1,84,45,000","1,76,63,000","1,98,13,000","1,96,52,000"
Operating income or loss,"2,44,98,000","2,18,95,000","2,00,64,000","1,68,68,000"
Interest expense,"19,95,000","62,000","25,000","20,000"
Income before tax,"3,86,78,000","3,55,27,000","3,52,92,000","3,57,97,000"
Income tax expense,"61,10,000","1,05,89,000","1,03,55,000","83,27,000"
Income from continuing operations,"3,25,68,000","2,49,38,000","2,49,37,000","2,74,70,000"
Net income,"3,25,68,000","2,49,38,000","2,49,37,000","2,74,70,000"
Net income available to common shareholders,"3,25,68,000","2,49,38,000","2,49,37,000","2,74,70,000"
Basic EPS,-,13.49,13.49,14.73
Diluted EPS,-,13.49,13.49,14.73
Basic average shares,-,"18,48,913","18,48,846","18,65,170"
Diluted average shares,-,"18,49,006","18,48,949","18,65,286"
EBITDA,-,"4,66,53,000","4,75,05,000","4,79,84,000"
