,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,3,3,21,19
Avg. Estimate,34.95B,35.16B,142.01B,141.68B
Low estimate,34.23B,34.49B,126.3B,124.8B
High estimate,35.59B,35.55B,146.94B,149.67B
Year ago EPS,1.97,3.16,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,36.56B,36.62B,144.9B,142.01B
Sales growth (year/est),-4.40%,-4.00%,-2.00%,-0.20%
Earnings history,30/9/2017,31/12/2017,31/3/2018,30/9/2018
Est. EPS,3.5,3.6,3.52,3.12
Actual EPS,1.97,3.16,3.55,3.24
Difference,-1.53,-0.44,0.03,0.12
Surprise %,-43.70%,-12.20%,0.90%,3.80%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,2.68,2.65,12.62,12.31
30 days ago,2.68,2.65,12.62,12.31
60 days ago,2.68,2.65,12.62,12.31
90 days ago,2.68,2.65,12.62,12.31
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,INFRATEL.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),2.81%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
