,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"38,63,08,305","34,45,34,605","30,70,67,708","30,62,93,435"
Selling general and administrative,-,"28,40,559","18,95,749","15,49,163"
Total operating expenses,"18,34,76,172","17,69,01,172","14,10,80,644","13,04,16,077"
Interest expense,"37,69,59,946","33,88,34,746","27,60,36,927","26,78,93,474"
Income before tax,"9,60,17,643","7,59,20,543","56,58,775","5,95,38,112"
Income tax expense,"4,79,50,200","2,54,49,600","10,18,600","1,98,67,800"
Income from continuing operations,"4,80,67,443","5,04,70,943","46,40,175","3,96,70,312"
Net income,"4,78,68,389","5,03,85,889","45,58,112","3,95,30,292"
Net income available to common shareholders,"4,78,68,389","5,03,85,889","45,58,112","3,95,30,292"
Basic EPS,-,19.61,1.86,16.54
Diluted EPS,-,19.49,1.86,16.48
Basic average shares,-,"25,69,000","24,45,100","23,89,300"
Diluted average shares,-,"25,84,800","24,52,600","23,98,700"
