,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,3,3,11,11
Avg. Estimate,1.51T,1.61T,4.25T,4.46T
Low estimate,1.4T,1.59T,3.51T,3.66T
High estimate,1.61T,1.63T,5.44T,5.63T
Year ago EPS,13.39,13.72,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,732.56B,840.37B,2.9T,4.25T
Sales growth (year/est),106.20%,91.90%,46.50%,4.90%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,12.95,13.94,13.93,14.66
Actual EPS,13.39,13.72,13.91,13.98
Difference,0.44,-0.22,-0.02,-0.68
Surprise %,3.40%,-1.60%,-0.10%,-4.60%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,16.23,20.62,62.78,71.85
30 days ago,16.23,20.62,62.78,71.85
60 days ago,16.23,20.62,62.78,71.85
90 days ago,16.23,20.62,62.78,71.85
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,RELIANCE.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),13.82%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
