,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"80,35,10,200","66,17,44,600","32,57,70,700","27,64,76,900"
Selling general and administrative,-,"1,46,03,000","35,60,000","31,34,300"
Total operating expenses,"55,96,51,800","51,06,05,600","17,92,53,400","14,20,10,900"
Interest expense,"31,46,21,600","29,01,27,900","22,97,02,300","21,76,10,800"
Income before tax,"27,34,80,100","22,09,89,600","17,60,25,100","12,65,02,400"
Income tax expense,"4,05,18,400","4,51,84,500","4,00,12,000","4,02,07,900"
Income from continuing operations,"23,29,61,700","17,58,05,100","17,33,15,400","11,84,88,300"
Net income,"21,81,03,500","16,23,17,600","16,25,49,600","11,05,11,200"
Net income available to common shareholders,"21,81,03,500","16,23,17,600","16,25,49,600","11,05,11,200"
Basic EPS,-,95.40,100.35,68.87
Diluted EPS,-,94.66,98.88,68.30
Basic average shares,-,"17,01,400","16,02,200","15,83,400"
Diluted average shares,-,"17,14,800","16,26,100","15,96,500"
