,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"6,50,94,900","6,83,43,400","3,79,33,300"
Other short-term investments,"14,79,18,700","10,36,42,800","15,35,69,800"
Total cash,"21,30,13,600","17,19,86,200","19,15,03,100"
Net receivables,"68,88,60,200","63,42,25,400","51,81,20,300"
Inventory,"6,41,39,300","4,84,78,000","4,13,97,400"
Other current assets,"25,08,400","13,72,500","76,03,100"
Total current assets,"1,66,98,37,400","1,36,23,82,400","1,21,60,85,000"
"Gross property, plant and equipment","19,32,18,100","17,39,34,100","16,32,72,700"
Accumulated depreciation,"-5,94,86,900","-4,60,83,000","-2,96,64,200"
"Net property, plant and equipment","13,37,31,200","12,78,51,100","13,36,08,500"
Goodwill,"1,82,69,100","1,56,17,800","1,39,86,600"
Intangible assets,"15,65,88,400","13,33,08,700","11,78,58,200"
Total non-current assets,"1,12,15,03,300","1,08,81,51,100","90,45,11,700"
Total assets,"2,79,13,40,700","2,45,05,33,500","2,12,05,96,700"
Current debt,"51,43,43,800","34,60,92,600","26,63,50,900"
Accounts payable,"42,99,48,100","37,79,49,600","29,77,42,500"
Total current liabilities,"1,34,58,58,200","1,07,81,12,500","87,94,23,600"
Long-term debt,"74,12,07,300","72,91,45,600","67,34,03,300"
Deferred tax liabilities,"31,11,300","63,79,200","61,09,500"
Other long-term liabilities,-,-,"4,47,000"
Total non-current liabilities,"75,34,73,400","75,96,01,100","70,33,71,900"
Total liabilities,"2,09,93,31,600","1,83,77,13,600","1,58,27,95,500"
Common stock,"28,05,500","28,02,700","18,65,900"
Retained earnings,"48,20,05,300","41,83,71,700","37,33,53,200"
Total stockholders' equity,"62,37,48,000","55,65,69,900","50,21,65,200"
Total liabilities and stockholders' equity,"2,79,13,40,700","2,45,05,33,500","2,12,05,96,700"
