,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"3,21,60,000","62,10,000","64,90,000","62,80,000"
Other short-term investments,"4,22,10,000","6,23,30,000","6,32,10,000","5,11,80,000"
Total cash,"7,43,70,000","6,85,40,000","6,97,00,000","5,74,60,000"
Net receivables,"1,14,90,000","1,81,60,000","1,31,00,000","1,08,50,000"
Inventory,"2,76,70,000","2,57,40,000","2,51,30,000","2,54,10,000"
Other current assets,"10,000","10,000","10,000","40,000"
Total current assets,"12,32,10,000","11,91,40,000","11,66,00,000","10,21,80,000"
"Gross property, plant and equipment","7,99,40,000","6,29,40,000","5,73,20,000","4,92,60,000"
Accumulated depreciation,"-2,43,70,000","-1,69,60,000","-1,19,10,000","-72,90,000"
"Net property, plant and equipment","5,55,70,000","4,59,80,000","4,54,10,000","4,19,70,000"
Goodwill,"11,70,000","11,70,000","8,10,000","8,10,000"
Intangible assets,"40,20,000","40,60,000","36,70,000","37,00,000"
Total non-current assets,"7,83,20,000","6,71,50,000","6,20,20,000","5,48,80,000"
Total assets,"20,15,30,000","18,62,90,000","17,86,20,000","15,70,60,000"
Current debt,0,"9,90,000",0,"28,10,000"
Accounts payable,"7,53,50,000","7,20,60,000","7,17,00,000","6,18,60,000"
Other current liabilities,"42,80,000","34,70,000","41,50,000","45,30,000"
Total current liabilities,"9,31,70,000","8,66,70,000","8,88,70,000","7,71,40,000"
Deferred tax liabilities,-,-,-,0
Other long-term liabilities,-,"21,70,000","19,70,000","20,70,000"
Total non-current liabilities,"2,59,00,000","2,07,70,000","1,67,40,000","1,22,60,000"
Total liabilities,"11,90,70,000","10,74,40,000","10,56,10,000","8,94,00,000"
Common stock,"21,60,000","21,60,000","21,60,000","21,60,000"
Retained earnings,"7,69,80,000","7,34,80,000","4,58,10,000","4,04,60,000"
Total stockholders' equity,"8,22,90,000","7,86,70,000","7,28,10,000","6,74,40,000"
Total liabilities and stockholders' equity,"20,15,30,000","18,62,90,000","17,86,20,000","15,70,60,000"
